v ATLAS
# This file was created by ATLAS version 5.26.1.R on Sat Jan 01 10:41:58 2022.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
# Electrode #0 = 0 (V) 
# Electrode #1 = 0.6 (V) 
# Electrode #2 = 1 (V) 
# Electrode #3 = 1 (V) 
o 1 Energy (eV) 
o 2 Transmission  (electrons)  
o 3 DOS(1/eV cm)  (electrons)  x=0 
o 4 DOS(1/eV cm)  (electrons)  x=0.035 
o 5 J(A/eV)  (electrons)  x=0.01 
p 5 3000  3001  3002  3003  3004 
d  -0.0434123893   0.801765351   136138189   365028892   0.000259100003  
d  -0.0429751134   0.814848184   130834747   367483966   0.000261872645  
d  -0.0425770604   0.82648953   127116940   369652256   0.000264268262  
d  -0.0421232547   0.839420202   124079720   372040611   0.000266842391  
d  -0.0416804404   0.851657753   122245024   374279053   0.000269185382  
d  -0.0412589413   0.862931281   121427427   376319795   0.000271254276  
d  -0.0408440978   0.873646685   121402272   378237884   0.000273131524  
d  -0.0404518181   0.883413514   121994789   379965235   0.000274757449  
d  -0.0400654146   0.892670325   123075310   381581277   0.000276213917  
d  -0.0397001657   0.901075565   124472783   383028238   0.00027745583  
d  -0.0394312987   0.907042187   125692989   384041977   0.000278285201  
d  -0.0390787526   0.914574979   127488233   385303675   0.000279262626  
d  -0.0387529241   0.921237202   129297060   386400308   0.000280054163  
d  -0.0384270957   0.927605923   131203560   387429064   0.000280737795  
d  -0.0381227761   0.933285043   133035034   388327746   0.000281278661  
d  -0.0378307963   0.938486505   134807710   389132915   0.000281708995  
d  -0.0375388164   0.943443456   136568643   389881703   0.00028205279  
d  -0.0372234181   0.948521351   138429480   390626771   0.000282327396  
d  -0.0369035047   0.953377044   140245156   391314501   0.000282504002  
d  -0.0365696304   0.958127179   1.641521e+009   391958988   0.000282579914  
d  -0.0362930226   0.961817005   1.91538149e+009   392436208   0.000282559922  
d  -0.0359242122   0.966391567   1.91864994e+009   392992635   0.000282418137  
d  -0.0355184164   0.970971668   1.75069128e+009   393499780   0.000282112908  
d  -0.0351045639   0.975158472   1.52080401e+009   393904373   0.000281644456  
d  -0.0346547442   0.979162624   1.26405656e+009   394216503   0.000280960612  
d  -0.0341961172   0.982670419   1.02229823e+009   394399846   0.000280082595  
d  -0.0336992613   0.985832205   795544944   394447684   0.000278934018  
d  -0.0331861551   0.98842236   602943664   394336410   0.00027754296  
d  -0.032784084   0.989989369   480466090   394138158   0.000276314999  
d  -0.0322234704   0.991523769   347561169   393704002   0.000274412642  
d  -0.0316408875   0.992354585   250199096   393065439   0.000272217132  
d  -0.0310289564   0.992440623   185128031   392198730   0.000269691529  
d  -0.0303842352   0.991722023   149675378   391080287   0.000266811195  
d  -0.0298753223   0.990613171   140652927   390057324   0.000264395124  
d  -0.0291910995   0.988434909   148618504   388500015   0.00026097214  
d  -0.0284667302   0.985355265   175298185   386640992   0.000257159738  
d  -0.027707808   0.981380471   216344789   384482658   0.000252992857  
d  -0.0269130901   0.976515108   267274378   382016045   0.000248478491  
d  -0.0262906849   0.972279273   309422006   379953244   0.000244859478  
d  -0.0254318292   0.965930122   366950026   376942068   0.000239778882  
d  -0.0245335653   0.958796081   422683733   373618668   0.000234396862  
d  -0.0235934986   0.950939296   473081613   369985908   0.000228732685  
d  -0.0228569558   0.944596154   505623867   367052220   0.00022429764  
d  -0.0218337791   0.935635408   539761447   362882428   0.00021817379  
d  -0.0207598006   0.926184197   561548828   358427538   0.000211828056  
d  -0.0199204691   0.918854615   568961763   354917478   0.000206948745  
d  -0.018754139   0.908864572   566516328   350035784   0.000200310087  
d  -0.0175209827   0.898668643   550041916   344913150   0.00019349439  
d  -0.0165550609   0.891015286   529050679   340957203   0.000188314069  
d  -0.0152048056   0.880886263   490842516   335548282   0.000181316767  
d  -0.0137788259   0.870980915   443204173   330030406   0.000174241829  
d  -0.0126493052   0.863744252   402909700   325826112   0.00016886625  
d  -0.0110657027   0.854524581   346351963   320207212   0.000161661073  
d  -0.00981265873   0.847991359   303979072   316003155   0.000156223381  
d  -0.00804101633   0.839867351   250876084   310434534   0.00014890898  
d  -0.00662802222   0.834275891   215990271   306306268   0.000143367946  
d  -0.00462133932   0.827581342   179488505   300899035   0.000135905533  
d  -0.00301164336   0.823165536   161545826   296916962   0.000130232286  
d  -0.000705243498   0.818115111   152263783   291687081   0.000122533296  
d  0.00116734782   0.81494097   156906512   287780994   0.000116611826  
d  0.00317600502   0.812264857   171150721   283867433   0.000110547728  
d  0.00611200068   0.80929095   202709976   278830538   0.000102146485  
d  0.00841339473   0.807210076   230811123   278522318   9.58726245e-005  
d  0.0104760107   0.803238726   254542468   1.73808107e+009   9.02259484e-005  
d  0.012698999   0.802981592   276233663   1.10826511e+009   8.48237494e-005  
d  0.0145785102   0.803998241   290320528   577910257   8.05494109e-005  
d  0.0161097916   0.805209515   298352558   363311150   7.7210284e-005  
d  0.017988365   0.806761823   303763394   299915894   7.32477829e-005  
d  0.0192783874   0.80755853   304815120   332740695   7.05851721e-005  
d  0.0208607703   0.8075889   304028221   411136574   6.73343206e-005  
d  0.0222851225   0.805379214   304206240   489891092   6.43246039e-005  
d  0.0232410719   0.800799274   310551993   538079208   6.21233319e-005  
d  0.0243693915   0.782804141   369560216   585274461   5.86598936e-005  
d  0.0257667154   0.925814544   1.59067363e+009   624757075   6.64371272e-005  
d  0.0270878952   0.964333859   1.17753199e+009   641339986   6.63997895e-005  
d  0.029073738   0.984836995   664133208   632685215   6.36831183e-005  
d  0.0313261401   0.993272533   407653274   585277822   5.97536034e-005  
d  0.0337884997   0.996475118   360614163   507605564   5.53329716e-005  
d  0.0368005846   0.997058852   413798937   406059743   5.01233028e-005  
d  0.0405811858   0.99569555   461661068   307963866   4.40835552e-005  
d  0.0454484769   0.992731108   415769076   263214246   3.72004864e-005  
d  0.049703364   0.989923462   330311883   290689562   3.19775894e-005  
d  0.0552733203   0.986589877   252088540   368190126   2.6155874e-005  
d  0.0627099668   0.983381684   266690801   439122243   1.99291338e-005  
d  0.0716480592   0.98183198   367696693   397613199   1.43241839e-005  
d  0.0814729026   0.982648347   408144224   278779359   9.93514578e-006  
d  0.091297746   0.984872658   330936793   234588273   6.87269188e-006  
d  0.104397537   0.987839111   179231781   340848214   4.18661292e-006  
d  0.114222381   0.989355507   129340700   434554632   2.87850858e-006  
d  0.124047224   0.990482077   155588135   455565355   1.97592973e-006  
d  0.137147015   0.992278685   580365467   410658131   1.19534251e-006  
d  0.150246806   0.994739952   450935765   387528929   7.22946115e-007  
d  0.163346597   0.997857308   339531782   321474025   4.37283281e-007  
d  0.176446389   1.00237047   456365811   229512353   2.64774445e-007  
d  0.18954618   1.01390361   291227320   245346491   1.61402608e-007  
d  0.202645971   1.0546706   131613999   302669130   1.01168232e-007  
d  0.215745762   1.18281094   195753066   223169299   6.8363512e-008  
d  0.228845553   1.51786258   311362748   498981009   5.28571909e-008  
d  0.241945344   1.79945352   333788794   638633928   3.77540308e-008  
d  0.255045136   1.81502199   1.81372653e+009   399771081   2.2942921e-008  
d  0.268144927   1.74682734   541010416   363992413   1.33032191e-008  
d  0.281244718   1.72721886   404895076   499559957   7.92485925e-009  
d  0.294344509   1.75596269   219156748   474981782   4.85395086e-009  
d  0.3074443   1.78356535   400691051   376755162   2.97032595e-009  
d  0.320544091   1.79319267   408620857   335538394   1.79918771e-009  
d  0.333643883   1.80830592   274310223   367463766   1.09308903e-009  
d  0.346743674   1.84425817   223594124   387317153   6.71644176e-010  
d  0.359843465   1.88970063   286772370   347804753   4.14614353e-010  
d  0.372943256   1.9229259   351611992   274348415   2.54183635e-010  
d  0.386043047   1.93877381   341549004   236926725   1.54399487e-010  
d  0.399142838   1.95366359   277926176   255341912   9.37350757e-011  
d  0.41224263   1.99852304   1.62487051e+009   282135933   5.77690384e-011  
d  0.425342421   1.98068999   507834239   327030783   3.44934081e-011  
d  0.438442212   1.97662366   433780296   377673908   2.07384933e-011  
d  0.451542003   1.9797133   355980120   396227716   1.25137975e-011  
d  0.464641794   1.98103029   478208467   1.3152747e+009   7.54417136e-012  
d  0.477741585   1.97777443   420756923   472530783   4.53764788e-012  
d  0.490841377   1.97303927   261170658   459740556   2.72724007e-012  
d  0.503941168   1.97120617   199895770   248186237   1.6415469e-012  
d  0.517040959   1.97381284   255212766   429367026   9.90286412e-013  
